nome_hotel,prezzo_iniziale,prezzo,credito_guadagnato,stanza,città,data,punteggio,stelle,stelle_booking,partner_preferiti,novita,evidenza,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Vado Al Massimo,€ 139,€ 125,,Camera Matrimoniale/Doppia con Letti Singoli,"Monte di Pietà, Palermo",2024-06-15,"8,2
Punteggio di 8,2",,3.0,preferred,False,False,266 recensioni,300 m dal centro,True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casavacanze Tuttapposto,€ 134,€ 121,,Appartamento con 2 Camere da Letto,Palermo,2024-06-15,"9,5
Punteggio di 9,5",,4.0,,False,False,58 recensioni,"3,3 km dal centro",True,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
M'Place - Mondello Residence,€ 179,€ 166,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"9,6
Punteggio di 9,6",,4.0,,False,False,5 recensioni,"10,3 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
BB45,€ 127,€ 116,,Appartamento,"Castellammare Vucciria, Palermo",2024-06-15,"9,5
Punteggio di 9,5",,3.0,preferred,False,False,245 recensioni,"0,7 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Ballarò Rooftop - Hot Tub - BBQ,€ 204,€ 187,,Appartamento con 2 Camere da Letto,"Albergaria, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,4.0,,False,False,10 recensioni,"1,3 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Hotel Roma 62,€ 139,€ 139,Guadagna € 10 di Credito,Camera Matrimoniale Superior,"La Kalsa, Palermo",2024-06-15,"8,1
Punteggio di 8,1",2.0,,preferred_plus,False,False,501 recensioni,"1,2 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Vacanza Al Massimo,€ 124,€ 116,,Camera Deluxe (1 Adulto + 1 Bambino),"Monte di Pietà, Palermo",2024-06-15,"8,2
Punteggio di 8,2",,3.0,preferred,False,False,8 recensioni,350 m dal centro,True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Al Centro di Tutto,€ 94,€ 85,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"7,9
Punteggio di 7,9",,3.0,,False,False,57 recensioni,"1,4 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa vacanza Giusi,€ 132,€ 132,,Appartamento con 2 Camere da Letto,"Monte di Pietà, Palermo",2024-06-15,"8,0
Punteggio di 8,0",,4.0,,False,False,85 recensioni,"0,6 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Julie Room,€ 120,€ 120,,Camera Matrimoniale,Palermo,2024-06-15,"6,8
Punteggio di 6,8",,3.0,,False,False,4 recensioni,"1,7 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Doriana,€ 94,€ 94,,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"9,5
Punteggio di 9,5",,,,False,False,4 recensioni,"1,1 km dal centro",False,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Residenza del Castillo,€ 154,€ 154,,Camera Tripla,"Albergaria, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred,False,False,396 recensioni,1 km dal centro,False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Da Marlà al Politeama,€ 144,€ 144,,Appartamento con 1 Camera da Letto,"Ruggero Settimo, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,4.0,,False,False,29 recensioni,"0,5 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Small Paradise Palermo,€ 124,€ 124,,Camera Queen con Balcone,Palermo,2024-06-15,"8,5
Punteggio di 8,5",,4.0,preferred_plus,False,False,277 recensioni,9 km dal centro,False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Tomasi Apartment Palermo,€ 255,€ 230,,Appartamento con 2 Camere da Letto,"Castellammare Vucciria, Palermo",2024-06-15,"9,6
Punteggio di 9,6",,4.0,,False,False,26 recensioni,"0,5 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Apartment di Nick Corso dei mille 175,€ 74,€ 74,,Camera Matrimoniale Deluxe con Balcone,Palermo,2024-06-15,"7,0
Punteggio di 7,0",,3.0,preferred,True,True,3 recensioni,"1,8 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La Maison de Marie Rose,€ 81,€ 81,,Camera Matrimoniale Standard,"Borgo vecchio, Palermo",2024-06-15,"7,2
Punteggio di 7,2",,3.0,,False,False,51 recensioni,"0,8 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
AQUAROOMS Luxury Suites,€ 208,€ 188,,Camera Matrimoniale Deluxe con Vasca,"La Kalsa, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,4.0,preferred,False,False,195 recensioni,"0,9 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa vacanza Gio,€ 101,€ 101,,Casa Vacanze,"Monte di Pietà, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,3.0,,False,False,28 recensioni,350 m dal centro,False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La dimora dei corsari,€ 124,€ 110,,Ampia Camera Matrimoniale,Palermo,2024-06-15,"7,6
Punteggio di 7,6",,3.0,,False,False,13 recensioni,7 km dal centro,True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La casetta degli ulivi,€ 115,€ 115,,Casa con 1 Camera da Letto,Palermo,2024-06-15,"10
Punteggio di 10",,3.0,,False,False,9 recensioni,"9,7 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Hotel Palazzo Brunaccini,€ 200,€ 200,,Suite,"Albergaria, Palermo",2024-06-15,"8,2
Punteggio di 8,2",4.0,,preferred,False,False,304 recensioni,1 km dal centro,False,,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Residenze Chamur Via Giuseppe Sciuti,€ 154,€ 124,,Suite con Balcone,Palermo,2024-06-15,"9,1
Punteggio di 9,1",,4.0,preferred,False,True,92 recensioni,"1,8 km dal centro",False,Offerta Vacanze ,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Vacanze Santa Rosalia,€ 124,€ 112,,Casa con 2 Camere da Letto,Palermo,2024-06-15,"8,4
Punteggio di 8,4",,4.0,,True,False,5 recensioni,"4,3 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Franco-Home,€ 91,€ 91,,Camera Tripla Deluxe,Palermo,2024-06-15,"7,9
Punteggio di 7,9",,3.0,,False,False,99 recensioni,"0,8 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Villa Giannì,€ 94,€ 87,,Appartamento con Vista Giardino,Palermo,2024-06-15,"7,6
Punteggio di 7,6",,3.0,preferred,False,False,80 recensioni,"5,8 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Regina Suite,€ 109,€ 109,,Camera Matrimoniale,Palermo,2024-06-15,"7,5
Punteggio di 7,5",,3.0,preferred,False,False,4 recensioni,"2,4 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Fiori d'Ulivo,€ 99,€ 80,,Appartamentino su 2 Livelli,"Castellammare Vucciria, Palermo",2024-06-15,,,3.0,,True,False,,450 m dal centro,False,Offerta Vacanze ,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Giardino delle arance Luxury Rooms,€ 88,€ 88,,Suite Familiare Deluxe,Palermo,2024-06-15,,,4.0,,False,False,,"7,3 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
3B Mondello Apartments,€ 214,€ 193,,Appartamento con 2 Camere da Letto,Palermo,2024-06-15,"10
Punteggio di 10",,4.0,,False,False,4 recensioni,"9,8 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
"Open Sicily Homes ""Residence ai Quattro Canti"" - Self check in - Deposito Bagagli",€ 172,€ 159,Guadagna € 11 di Credito,Appartamento con Balcone,"Albergaria, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,4.0,preferred_plus,False,False,423 recensioni,"0,8 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
ROOM VISTAMARE PALERMO,€ 112,€ 96,,Appartamento con 2 Camere da Letto,Palermo,2024-06-15,"8,5
Punteggio di 8,5",,4.0,,False,False,11 recensioni,5 km dal centro,False,Offerta Vacanze ,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Palermo Holiday Studio,€ 104,€ 104,,Casa Vacanze,Palermo,2024-06-15,"9,3
Punteggio di 9,3",,3.0,,False,False,17 recensioni,"1,2 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
MONTESANTO36 APARTMENTS,€ 265,€ 199,,Appartamento con 1 Camera da Letto,"La Kalsa, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,94 recensioni,"1,2 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Hola House alla Kalsa,€ 154,€ 135,,Appartamento con 2 Camere da Letto,"La Kalsa, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,4.0,,False,False,6 recensioni,"1,4 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Valguarnera Studio Apartments,€ 274,€ 247,,Appartamento Standard,"La Kalsa, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,,False,False,194 recensioni,"1,1 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Home Resuttano,€ 94,€ 87,,Monolocale,"La Kalsa, Palermo",2024-06-15,"7,9
Punteggio di 7,9",,3.0,,False,False,39 recensioni,"1,1 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La dolce casetta,€ 98,€ 98,,Casa con 1 Camera da Letto,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,,,True,False,2 recensioni,"3,2 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
A un passo dalla cattedrale,€ 132,€ 132,,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,,False,False,23 recensioni,"0,6 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Porta di Castro Boutique Hotel & SPA,€ 353,€ 353,,Junior Suite con Balcone,"Albergaria, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,,preferred_plus,False,False,1.466 recensioni,"1,1 km dal centro",False,,True,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Brezi,€ 243,€ 219,,Appartamento con 2 Camere da Letto,"La Kalsa, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,,False,False,21 recensioni,"1,3 km dal centro",True,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Simone Cupolas View,€ 83,€ 83,,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"9,7
Punteggio di 9,7",,3.0,,False,False,3 recensioni,"1,2 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Palermo Inn Boutique,€ 394,€ 260,,Camera Matrimoniale Deluxe con Balcone,"Monte di Pietà, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred_plus,False,False,857 recensioni,350 m dal centro,True,,True,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Villa Zeus mondello e spa,€ 74,€ 74,,Camera Tripla,Palermo,2024-06-15,"3,7
Punteggio di 3,7",,,,False,False,3 recensioni,10 km dal centro,False,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Mauro,€ 104,€ 94,,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,4.0,,False,False,10 recensioni,"1,2 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Cuba Holiday House,€ 104,€ 94,,Appartamento con 2 Camere da Letto,Palermo,2024-06-15,"10
Punteggio di 10",,4.0,,True,False,1 recensione,"2,3 km dal centro",False,Offerta Vacanze ,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
suite ruggero settimo,€ 124,€ 124,,Appartamento con 1 Camera da Letto,"Ruggero Settimo, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,,,False,False,16 recensioni,200 m dal centro,False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Marettu,€ 191,€ 172,,Appartamento con 1 Camera da Letto,"La Kalsa, Palermo",2024-06-15,"9,8
Punteggio di 9,8",,4.0,,False,False,8 recensioni,1 km dal centro,True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Private House 14 Palermo,€ 123,€ 123,,Appartamento con 2 Camere da Letto,Palermo,2024-06-15,"10
Punteggio di 10",,4.0,,True,False,1 recensione,2 km dal centro,False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Cathedral House Design,€ 164,€ 143,,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,4.0,,False,False,23 recensioni,"1,1 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La Kalsa di Somavi,€ 199,€ 164,,Casa Vacanze,"La Kalsa, Palermo",2024-06-15,"9,5
Punteggio di 9,5",,4.0,preferred,False,False,25 recensioni,"1,5 km dal centro",True,Offerta Vacanze ,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La Casa di Lilù,€ 202,€ 182,,Appartamento - Piano Terra,"Monte di Pietà, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,,False,False,52 recensioni,"0,6 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Hotel Villa Lampedusa,€ 167,€ 167,,Camera Matrimoniale,Palermo,2024-06-15,"8,4
Punteggio di 8,4",3.0,,preferred,False,False,108 recensioni,"5,3 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Real suite spa,€ 194,€ 175,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"9,4
Punteggio di 9,4",,4.0,,False,False,70 recensioni,"4,1 km dal centro",True,,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Hamuri holiday house Ros71,€ 96,€ 77,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,,,,,True,False,,"1,2 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Grand Hotel Et Des Palmes,€ 471,€ 471,,Superior Room,"Ruggero Settimo, Palermo",2024-06-15,"9,0
Punteggio di 9,0",5.0,,preferred,False,False,1.091 recensioni,400 m dal centro,True,,True,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Holiday House,€ 53,€ 53,,Casa con 1 Camera da Letto,Palermo,2024-06-15,,,,,True,False,,"6,7 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
C'era Una Volta,€ 140,€ 126,Guadagna € 9 di Credito,Camera Quadrupla Deluxe,"Ruggero Settimo, Palermo",2024-06-15,"8,5
Punteggio di 8,5",,4.0,preferred_plus,False,False,541 recensioni,450 m dal centro,True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Le Casette di Laura a Mondello,€ 104,€ 104,,Casa con 1 Camera da Letto,Palermo,2024-06-15,,,,,True,False,,"8,3 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
HouseStation Suite,€ 164,€ 150,,Casa con 1 Camera da Letto,Palermo,2024-06-15,"9,4
Punteggio di 9,4",,3.0,,False,False,50 recensioni,"1,7 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Hola Cathedral House Al Capo,€ 149,€ 131,,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-06-15,"8,1
Punteggio di 8,1",,3.0,,False,False,31 recensioni,500 m dal centro,True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Zefiro Suites,€ 251,€ 180,Guadagna € 13 di Credito,Camera Matrimoniale Budget,"La Kalsa, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,preferred_plus,False,False,637 recensioni,"0,9 km dal centro",True,Offerta Vacanze ,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
[MoroHouse] 50mt from Teatro Massimo,€ 147,€ 147,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"10
Punteggio di 10",,4.0,,True,False,2 recensioni,250 m dal centro,False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Cuba house,€ 94,€ 85,,Appartamento,Palermo,2024-06-15,"8,4
Punteggio di 8,4",,3.0,,False,False,37 recensioni,"2,2 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Flat44,€ 136,€ 136,,Appartamento con 2 Camere da Letto,"Borgo vecchio, Palermo",2024-06-15,"10
Punteggio di 10",,4.0,,True,False,2 recensioni,"1,1 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
B&B house la cantinetta,€ 104,€ 104,,Appartamento con 2 Camere da Letto,Palermo,2024-06-15,,,,,True,False,,"9,3 km dal centro",False,,True,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Location10,€ 218,€ 192,Guadagna € 13 di Credito,Camera Matrimoniale Deluxe con Balcone,Palermo,2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred_plus,False,False,900 recensioni,"0,8 km dal centro",True,,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
B&B Sant'Agostino,€ 247,€ 247,,Camera Matrimoniale,"Monte di Pietà, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,4.0,preferred,False,False,632 recensioni,350 m dal centro,False,,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Holiday Home Villa Relax,€ 102,€ 96,,Casa Vacanze,Palermo,2024-06-15,"8,1
Punteggio di 8,1",,4.0,,False,False,48 recensioni,"9,6 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
All'Ombra di Porta Nuova,€ 89,€ 81,,Appartamento,Palermo,2024-06-15,"7,4
Punteggio di 7,4",,3.0,,False,False,43 recensioni,"1,1 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Corrieri Apartments,€ 211,€ 141,,Casa con 1 Camera da Letto,"La Kalsa, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,,False,False,76 recensioni,1 km dal centro,True,Offerta Vacanze ,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Lo scarrozzo room,€ 117,€ 94,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,,,,,True,False,,10 km dal centro,False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La Casetta di Angy,€ 94,€ 85,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"8,2
Punteggio di 8,2",,4.0,,False,False,5 recensioni,"1,1 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Palazzo Sovrana,€ 519,€ 519,,Suite con Vasca Idromassaggio,"Castellammare Vucciria, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,preferred,False,False,336 recensioni,150 m dal centro,False,,True,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Villa venere e spa,€ 69,€ 69,,Camera Tripla con Bagno Privato,Palermo,2024-06-15,"5,0
Punteggio di 5,0",,,,True,False,1 recensione,10 km dal centro,False,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
IGIEA APARTMENT,€ 106,€ 106,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"9,7
Punteggio di 9,7",,4.0,,True,False,3 recensioni,"2,4 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
GB apartment (stazione centrale),€ 124,€ 112,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,4.0,,False,False,5 recensioni,2 km dal centro,True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Ciccio Rooms and breakfast,€ 175,€ 135,Guadagna € 9 di Credito,Camera Superior Matrimoniale/Doppia con Letti Singoli con Vista Mare,Palermo,2024-06-15,"9,2
Punteggio di 9,2",,3.0,preferred_plus,False,False,96 recensioni,"3,5 km dal centro",True,,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Paiper b&b,€ 97,€ 88,,Casa con 2 Camere da Letto,"Monte di Pietà, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,,,False,False,3 recensioni,"0,7 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Palazzo Cartari,€ 391,€ 314,,Camera Matrimoniale con Balcone,"La Kalsa, Palermo",2024-06-15,"9,1
Punteggio di 9,1",4.0,,,False,False,29 recensioni,"0,8 km dal centro",False,Offerta Vacanze ,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Paleemo centro zoe Blu,€ 65,€ 65,,Camera Tripla,Palermo,2024-06-15,"4,1
Punteggio di 4,1",,,,False,False,9 recensioni,400 m dal centro,False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
SAMMARTINO LUXURY APARTMENT,€ 124,€ 124,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,4.0,,False,False,2 recensioni,"0,7 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
La chiave dei sogni,€ 193,€ 163,,Appartamento con 3 Camere da Letto,"Monte di Pietà, Palermo",2024-06-15,"8,2
Punteggio di 8,2",,4.0,,False,False,19 recensioni,450 m dal centro,True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
casa acala,€ 76,€ 76,,Appartamento con 1 Camera da Letto,"Castellammare Vucciria, Palermo",2024-06-15,"7,5
Punteggio di 7,5",,4.0,,False,False,2 recensioni,"0,8 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Palazzo Arone dei Baroni di Valentino,€ 389,€ 351,,Camera Matrimoniale Superior,"Albergaria, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,192 recensioni,"0,7 km dal centro",False,,True,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
aMori 85,€ 224,€ 224,,Camera Queen con Vasca Idromassaggio,Palermo,2024-06-15,"8,6
Punteggio di 8,6",,4.0,,False,False,23 recensioni,"0,6 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Palermo Houses,€ 84,€ 84,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"8,0
Punteggio di 8,0",,3.0,,False,False,6 recensioni,"2,8 km dal centro",False,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
E G Sicilia,€ 107,€ 107,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,,,4.0,,False,False,5 recensioni esterne,"1,4 km dal centro",False,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casta Diva Luxury Apartments,€ 193,€ 174,Guadagna € 12 di Credito,Appartamento Superior,"Monte di Pietà, Palermo",2024-06-15,"9,5
Punteggio di 9,5",,4.0,preferred_plus,False,False,312 recensioni,450 m dal centro,True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Isabella Suite Marina di Villa Igiea,€ 244,€ 220,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"8,6
Punteggio di 8,6",,4.0,preferred,False,False,41 recensioni,"2,8 km dal centro",True,,False,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
casetta della cattedrale,€ 119,€ 111,,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,3.0,,False,False,17 recensioni,"0,9 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Villa olimpia,€ 204,€ 204,,Camera Familiare,Palermo,2024-06-15,,,,,False,False,,"8,7 km dal centro",False,,True,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Vacanze Trasselli,€ 109,€ 99,,Casa con 3 Camere da Letto,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,4.0,,False,False,15 recensioni,"2,3 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Pelù il marinaio,€ 64,€ 64,,Camera Quadrupla,Palermo,2024-06-15,"8,0
Punteggio di 8,0",,3.0,,False,False,150 recensioni,"10,9 km dal centro",False,,True,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
RhelizeOne & Spa جميل,€ 179,€ 179,,Camera Matrimoniale con Bagno Privato,Palermo,2024-06-15,"8,3
Punteggio di 8,3",,3.0,,False,False,7 recensioni,"6,1 km dal centro",False,,True,False,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Guccia home,€ 241,€ 241,,Appartamento con 1 Camera da Letto e Vasca Idromassaggio,"Monte di Pietà, Palermo",2024-06-15,"9,7
Punteggio di 9,7",,4.0,,False,False,35 recensioni,"0,7 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Politeama Holidays,€ 147,€ 147,,Casa con 1 Camera da Letto,"Ruggero Settimo, Palermo",2024-06-15,"7,0
Punteggio di 7,0",,,,False,False,1 recensione,350 m dal centro,False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Iverlid Ballarò,€ 115,€ 115,,Casa con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,4.0,,False,False,23 recensioni,"0,9 km dal centro",False,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa con vasca idromassaggio in centro storico,€ 174,€ 152,,Casa con 1 Camera da Letto,"La Kalsa, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,4.0,,False,False,9 recensioni,"0,9 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Casa Betti,€ 114,€ 114,,Camera Matrimoniale Piccola,Palermo,2024-06-15,"8,0
Punteggio di 8,0",,,,False,False,2 recensioni,"8,2 km dal centro",False,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
Ameli House,€ 149,€ 130,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"8,4
Punteggio di 8,4",,3.0,,False,False,30 recensioni,"1,7 km dal centro",True,,False,True,True,MacOS,sunnytraveler,desktop,05-07-2024---16:22
San Francesco Rooms and Apartment with Terrace in Palermo,€ 156,€ 144,,Camera Matrimoniale Deluxe con Balcone,"La Kalsa, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,3.0,preferred,False,False,150 recensioni,"0,9 km dal centro",True,,False,False,False,MacOS,sunnytraveler,desktop,05-07-2024---16:22
